R,G,B,Scalar
0.092633,0.067057,0.061824,1
0.113669,0.06203,0.05154,1
0.140569,0.050091,0.033232,1
0.165165,0.033736,0.017454,1
0.188428,0.014065,0.005529,1
0.205142,0.000004,0.000001,1
0.211265,0.000002,0.000001,1
0.217357,0.000006,0.000002,1
0.223424,0.000007,0.000002,1
0.229468,0.000006,0.000002,1
0.23549,0.000001,0,1
0.241483,0.000005,0.000002,1
0.247456,0.000007,0.000002,1
0.25341,0.000006,0.000002,1
0.259346,0.000002,0.000001,1
0.265259,0.000004,0.000001,1
0.271155,0.000007,0.000002,1
0.277036,0.000007,0.000002,1
0.282902,0.000002,0.000001,1
0.28875,0.000005,0.000001,1
0.294582,0.000007,0.000002,1
0.300004,0.000882,0.000282,1
0.304945,0.002842,0.000922,1
0.309881,0.004862,0.001598,1
0.314817,0.006939,0.002307,1
0.319751,0.00907,0.00305,1
0.324686,0.011255,0.003824,1
0.329623,0.013488,0.004629,1
0.334563,0.015767,0.005462,1
0.339508,0.01809,0.006322,1
0.344458,0.020451,0.007207,1
0.349415,0.022851,0.008117,1
0.354379,0.025285,0.009048,1
0.359352,0.027748,0.009999,1
0.364335,0.030239,0.010968,1
0.369329,0.032752,0.011953,1
0.374334,0.035286,0.012952,1
0.379352,0.037836,0.013964,1
0.384383,0.0404,0.014985,1
0.389428,0.042887,0.016014,1
0.394488,0.045292,0.017048,1
0.399565,0.04762,0.018086,1
0.404658,0.049875,0.019124,1
0.409768,0.052058,0.020162,1
0.414895,0.054174,0.021197,1
0.420042,0.056222,0.022226,1
0.425208,0.058204,0.023248,1
0.430393,0.060122,0.024259,1
0.4356,0.061976,0.025257,1
0.440827,0.063768,0.026241,1
0.446075,0.0655,0.027209,1
0.451346,0.06717,0.028158,1
0.456639,0.06878,0.029086,1
0.461954,0.070329,0.029991,1
0.467294,0.071817,0.03087,1
0.472657,0.073245,0.031721,1
0.477999,0.074767,0.03219,1
0.48331,0.076423,0.03218,1
0.488575,0.078253,0.031579,1
0.493868,0.080011,0.030948,1
0.499185,0.081709,0.030255,1
0.504533,0.08333,0.029546,1
0.509905,0.084892,0.028776,1
0.515305,0.086387,0.027966,1
0.520733,0.087815,0.027114,1
0.526186,0.089186,0.026196,1
0.531658,0.090523,0.025161,1
0.537149,0.091825,0.024017,1
0.542657,0.093097,0.022742,1
0.548182,0.094341,0.021334,1
0.553727,0.095546,0.019813,1
0.559287,0.096731,0.01814,1
0.564868,0.097876,0.016358,1
0.570467,0.098993,0.014437,1
0.576088,0.100068,0.012387,1
0.58175,0.101056,0.010171,1
0.587467,0.101921,0.007745,1
0.593246,0.102644,0.005128,1
0.59842,0.104881,0.003606,1
0.602699,0.109285,0.00383,1
0.606968,0.113646,0.004025,1
0.611229,0.11796,0.004211,1
0.615481,0.122237,0.004377,1
0.619725,0.126477,0.004528,1
0.623961,0.130683,0.004664,1
0.62819,0.134862,0.004781,1
0.632411,0.139011,0.004889,1
0.636624,0.143139,0.004972,1
0.640831,0.14724,0.005052,1
0.64503,0.151324,0.005105,1
0.649223,0.155386,0.005154,1
0.653408,0.159434,0.00518,1
0.657587,0.163463,0.005201,1
0.661759,0.16748,0.005201,1
0.665926,0.171482,0.005195,1
